id,nombre,cantidad,precio_oferta,precio,precioPorKilo,categoria
415244,PATÈ CANE ,MUCHO AMOR,0.51,0.85,0.0000,Pet
414684,BISTECCHE DI POLLO,,<nil>,6.90,<nil>,Macelleria
414711,CORDON BLEU AIA ,G 240 ,<nil>,4.99,4.6200,Macelleria
414763,SALAME FELINO IGP 100% ITALIANO LE TENTAZIONE DEL BUONGUSTAIO,G 120,4.63,5.79,38.5800,Gastronomia
415071,MIX BENESSERE GEMME DI BONTA' ,VARI TIPI ,<nil>,2.49,16.6000,Alimentari
415076,PATATINA AMICA CHIPS,G 400,<nil>,2.89,7.2300,Alimentari
415017,BIBITE CHIOSCHI,VARI TIPI,<nil>,0.79,0.8300,Bevande
414667,BONDUELLE,GRAN MIX GUSTOSO,<nil>,1.29,12.9000,Ortofrutta
414682,CONIGLIO INTERO,AL KG,<nil>,7.90,0.0000,Macelleria
414975,PISELLINI PRIMAVERA FINDUS ,G 300 ,<nil>,2.69,8.9700,Surgelati
415148,RISO GALLO BLOND,RISOTTI,<nil>,2.19,2.1900,Alimentari
415161,LEGUMI COAL,VARI TIPI VASO VETRO,0.79,0.99,<nil>,Alimentari
415285,OMINO BIANCO DISINFETTANTE LIQUIDO ,ML 900 ,<nil>,2.99,<nil>,Igiene casa
414907,UOVA ITALIANE DA ALLEVAMENTO A TERRA NO ANTIBIOTICI AIA ,X6 PZ,<nil>,1.69,0.0000,Alimentari
414952,BACCALA' SALATO FILETTO TAGLIAPIETRA ,G 500 ,<nil>,11.90,23.8000,Gastronomia
415193,ACETO DI MELE COAL,ML 500,0.99,1.65,1.9800,Alimentari
415273,CROCCHETTE GATTO,MUCHO AMOR,0.89,1.49,<nil>,Pet
415312,COPERCHIO 24 CM ,"5 PUNTI + 5,90€",<nil>,5.90,<nil>,Casa e cucina
414727,EMMENTALER AOP,,<nil>,1.79,17.9000,Gastronomia
414914,SNACK RICOPERTO CACAO NESQUIK NESTLE' ,G 28X4,<nil>,1.69,15.0900,Self service
414979,TRANCI DI SALMONE FINDUS ,G 500,<nil>,8.99,17.9800,Surgelati
415066,NOVELLINO CLASSICO CAMPIELLO ,G 350,<nil>,1.00,2.8600,Alimentari
415283,CARTA IGIENICA FOXY SETA ,4+2 MAXI ROTOLI ,<nil>,2.99,<nil>,Igiene casa
415718,FILETTI DI ALICI COAL,ALL'OLIO D'OLIVA,1.81,2.59,37.7100,Alimentari
414722,BRESAOLA VALTELLINA,PUNTA D'ANCA IGP,<nil>,3.29,32.9000,Gastronomia
414997,CORNETTI ALGIDA ,VARI GUSTI ,<nil>,4.99,0.0000,Surgelati
415074,CORNETTO GUSTO FORMAGGIO COAL,G 100,0.69,0.99,6.9000,Alimentari
415103,FOCACCIA / PINSA,FORNO DI FERENTILLO,<nil>,2.99,0.0000,Alimentari
414725,PROSCIUTTO CRUDO,SAN DANIELE DOP,<nil>,2.79,<nil>,Gastronomia
414729,GRANA PADANO DOP A SCAGLIE ,VASCHETTA G 150,<nil>,2.99,19.9300,Gastronomia
414796,PECORINO SCODELLATO IL TAVERNALE DE REMIGIS ,AL KG,<nil>,1.89,18.9000,Gastronomia
414797,PROSCIUTTO COTTO ALTA QUALITA' GRAN TENERONE ,,<nil>,1.59,15.9000,Gastronomia
414807,FILETTO MOLVA SALATO,700/1000,<nil>,1.09,10.9000,Self service
415310,TEGAME 2 MANIGLIE 28 CM ,30 PUNTI + 13.90€,<nil>,13.90,<nil>,Casa e cucina
414765,FORMAGGIO FETA DOP ZORBAS ,G 200 ,<nil>,2.89,14.4500,Gastronomia
414780,STRACCHINO TOMASONI,,<nil>,1.19,11.9000,Gastronomia
